Epoch: 0l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(9.4820), tensor(8.3139), tensor(0.0160))
Epoch: 10l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(7.2091), tensor(7.2695), tensor(0.0133))
Epoch: 20l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(7.2330), tensor(7.6591), tensor(0.0129))
Epoch: 30l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.6432), tensor(6.9526), tensor(0.0125))
Epoch: 40l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.7014), tensor(6.9339), tensor(0.0123))
Epoch: 50l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.6907), tensor(6.8137), tensor(0.0123))
Epoch: 60l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.4561), tensor(6.7884), tensor(0.0122))
Epoch: 70l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.5413), tensor(6.4288), tensor(0.0124))
Epoch: 80l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.1070), tensor(6.2252), tensor(0.0121))
Epoch: 90l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.0649), tensor(5.8945), tensor(0.0121))
Epoch: 100l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.5425), tensor(6.4203), tensor(0.0123))
Epoch: 110l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.4462), tensor(6.4363), tensor(0.0120))
Epoch: 120l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.4041), tensor(6.4117), tensor(0.0120))
Epoch: 130l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.2535), tensor(6.5830), tensor(0.0123))
Epoch: 140l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.4998), tensor(6.5877), tensor(0.0121))
Epoch: 150l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.4548), tensor(6.3969), tensor(0.0123))
Epoch: 160l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.5486), tensor(6.6519), tensor(0.0119))
Epoch: 170l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.0070), tensor(6.3894), tensor(0.0121))
Epoch: 180l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9194), tensor(6.4346), tensor(0.0118))
Epoch: 190l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.2980), tensor(6.5112), tensor(0.0118))
Epoch: 199l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.3175), tensor(6.3776), tensor(0.0119))
