Epoch: 0l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(4.0116), tensor(4.0397), tensor(0.0082))
Epoch: 10l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8734), tensor(6.0473), tensor(0.0110))
Epoch: 20l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.0465), tensor(6.4128), tensor(0.0110))
Epoch: 30l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.4271), tensor(6.1764), tensor(0.0110))
Epoch: 40l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8646), tensor(6.6087), tensor(0.0110))
Epoch: 50l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(6.0441), tensor(6.3363), tensor(0.0110))
Epoch: 60l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8676), tensor(6.2130), tensor(0.0109))
Epoch: 70l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.6274), tensor(6.3893), tensor(0.0109))
Epoch: 80l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9301), tensor(6.5448), tensor(0.0109))
Epoch: 90l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8423), tensor(6.6012), tensor(0.0109))
Epoch: 100l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9838), tensor(6.5123), tensor(0.0110))
Epoch: 110l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.7904), tensor(6.3418), tensor(0.0110))
Epoch: 120l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9836), tensor(6.7593), tensor(0.0109))
Epoch: 130l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8357), tensor(6.4679), tensor(0.0110))
Epoch: 140l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8172), tensor(6.5659), tensor(0.0111))
Epoch: 150l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8529), tensor(6.7994), tensor(0.0110))
Epoch: 160l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.7917), tensor(6.5960), tensor(0.0109))
Epoch: 170l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8988), tensor(6.7013), tensor(0.0109))
Epoch: 180l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.6055), tensor(6.4468), tensor(0.0110))
Epoch: 190l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8275), tensor(6.9299), tensor(0.0109))
Epoch: 200l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8479), tensor(6.5916), tensor(0.0109))
Epoch: 210l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8939), tensor(6.7274), tensor(0.0109))
Epoch: 220l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9663), tensor(6.6828), tensor(0.0109))
Epoch: 230l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8063), tensor(6.2995), tensor(0.0111))
Epoch: 240l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.6963), tensor(6.5658), tensor(0.0110))
Epoch: 250l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.7314), tensor(6.6153), tensor(0.0109))
Epoch: 260l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8412), tensor(6.6302), tensor(0.0109))
Epoch: 270l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.7307), tensor(6.5361), tensor(0.0109))
Epoch: 280l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9014), tensor(6.3996), tensor(0.0110))
Epoch: 290l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.8156), tensor(6.8032), tensor(0.0108))
Epoch: 299l_PM, l_P, l_MSE, d_penalty 0.00.0 0.001 0.0 P loss: (tensor(5.9621), tensor(6.3961), tensor(0.0109))
